Week,Search Volume
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,26
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,12
2022-05-15,80
2022-05-22,97
2022-05-29,36
2022-06-05,50
2022-06-12,0
2022-06-19,30
2022-06-26,51
2022-07-03,21
2022-07-10,0
2022-07-17,94
2022-07-24,100
2022-07-31,100
2022-08-07,54
2022-08-14,0
2022-08-21,26
2022-08-28,43
2022-09-04,0
2022-09-11,0
2022-09-18,14
2022-09-25,0
2022-10-02,24
2022-10-09,0
2022-10-16,0
2022-10-23,17
2022-10-30,0
2022-11-06,0
2022-11-13,12
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,13
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,12
2023-02-19,13
2023-02-26,0
2023-03-05,0
2023-03-12,15
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,14
2023-05-07,29
2023-05-14,30
